text_id,amharic_text,source,region,collection_date
1,ይሄ በጣም ጥሩ ነው,Public Forum,Amhara,2023-11-11
2,ይቅርታ፣ ያ አስደናቂ አይደለም,Public Forum,Tigray,2023-11-23
4,የጤና ግድ አለ,Social Media,Addis Ababa,2024-02-26
5,ወደ አዲስ አበባ መመለስ እወዳለሁ,Public Forum,Addis Ababa,2023-09-18
7,የእርሱ ቤተ መንግስት አገልግሎት ጥሩ ነበር,News Comment,SNNP,2024-05-17
10,ከፍተኛ የትምህርት አቅም አለ,Social Media,Sidama,2023-09-10
11,እንደገና ደስ ብሎኛል,Public Forum,Addis Ababa,2023-08-25
12,በዚህ ጊዜ ሁሉ ላይ ጭንቀት አለ,Social Media,SNNP,2023-10-20
25,አሁን የአየር ሁኔታ ግልጽ ነው,News Comment,Oromia,2024-01-30
32,የአየር ሁኔታ ሞልቶ ነው,Social Media,SNNP,2024-04-29
43,ተስፋ አለኝ እንደ ጊዜ ይሻለ,News Comment,Sidama,2023-09-30
52,ይቅርታ ነው ያ ነገር በጣም ግልጽ አይደለም,Social Media,Sidama,2024-02-16
